time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count,time,price,asset_id
2024-12-21T00:00:00.0000000Z,2024-12-21T01:00:00.0000000Z,2024-12-21T00:00:18.9020000Z,2024-12-21T00:58:39.8270000Z,97745,97787,97176,97564,9.507324399999998,204,2024-12-21 00:00:00+00:00,97745,BTC
2024-12-21T01:00:00.0000000Z,2024-12-21T02:00:00.0000000Z,2024-12-21T01:00:31.0170000Z,2024-12-21T01:59:29.7290000Z,97462,97628,97176,97358,11.838609759999999,195,2024-12-21 01:00:00+00:00,97462,BTC
2024-12-21T02:00:00.0000000Z,2024-12-21T03:00:00.0000000Z,2024-12-21T02:01:36.7330000Z,2024-12-21T02:59:08.1410000Z,97298,97570,97175,97369,13.134156960000004,109,2024-12-21 02:00:00+00:00,97298,BTC
2024-12-21T03:00:00.0000000Z,2024-12-21T04:00:00.0000000Z,2024-12-21T03:00:10.4750000Z,2024-12-21T03:59:24.3380000Z,97374,97440,97224,97440,59.949688480000006,138,2024-12-21 03:00:00+00:00,97374,BTC
2024-12-21T04:00:00.0000000Z,2024-12-21T05:00:00.0000000Z,2024-12-21T04:03:28.1750000Z,2024-12-21T04:57:38.4570000Z,97496,97565,97353,97565,18.605394389999994,159,2024-12-21 04:00:00+00:00,97496,BTC
2024-12-21T05:00:00.0000000Z,2024-12-21T06:00:00.0000000Z,2024-12-21T05:00:13.4370000Z,2024-12-21T05:59:46.5360000Z,97511,98622,97487,98622,99.78202854999999,574,2024-12-21 05:00:00+00:00,97511,BTC
2024-12-21T06:00:00.0000000Z,2024-12-21T07:00:00.0000000Z,2024-12-21T06:00:04.8120000Z,2024-12-21T06:59:56.2670000Z,98622,98777,98304,98682,141.42858282999978,693,2024-12-21 06:00:00+00:00,98622,BTC
2024-12-21T07:00:00.0000000Z,2024-12-21T08:00:00.0000000Z,2024-12-21T07:00:16.2230000Z,2024-12-21T07:59:58.2070000Z,98674,99514,98441,98995,216.11369000999997,1463,2024-12-21 07:00:00+00:00,98674,BTC
2024-12-21T08:00:00.0000000Z,2024-12-21T09:00:00.0000000Z,2024-12-21T08:00:09.9070000Z,2024-12-21T08:59:37.4650000Z,99053,99146,98451,98629,64.3705463,366,2024-12-21 08:00:00+00:00,99053,BTC
2024-12-21T09:00:00.0000000Z,2024-12-21T10:00:00.0000000Z,2024-12-21T09:00:07.1850000Z,2024-12-21T09:59:53.3880000Z,98628,98655,98292,98543,62.52805392,280,2024-12-21 09:00:00+00:00,98628,BTC
2024-12-21T10:00:00.0000000Z,2024-12-21T11:00:00.0000000Z,2024-12-21T10:00:54.2670000Z,2024-12-21T10:58:31.5450000Z,98539,98611,98033,98101,45.90658234,270,2024-12-21 10:00:00+00:00,98539,BTC
2024-12-21T11:00:00.0000000Z,2024-12-21T12:00:00.0000000Z,2024-12-21T11:00:18.5380000Z,2024-12-21T11:59:46.5010000Z,98106,98362,97787,98240,38.85138511000001,324,2024-12-21 11:00:00+00:00,98106,BTC
2024-12-21T12:00:00.0000000Z,2024-12-21T13:00:00.0000000Z,2024-12-21T12:00:00.8380000Z,2024-12-21T12:59:53.7570000Z,98236,98236,97096,97102,109.87164169999998,588,2024-12-21 12:00:00+00:00,98236,BTC
